Date,Average of OEE VALUE
01-01-2015, 51.51
01-02-2015, 51.64
01-03-2015, 51.71
01-04-2015, 52.01
01-05-2015, 51.89
01-06-2015, 52.36
01-07-2015, 52.55
01-08-2015, 52.39
01-09-2015, 52.98
01-10-2015, 53.01
01-11-2015, 52.83
01-12-2015, 52.77
01-01-2016, 53.14
01-02-2016, 53.76
01-03-2016, 54.31
01-04-2016, 54.13
01-05-2016, 53.88
01-06-2016, 53.95
01-07-2016, 54.44
01-08-2016, 54.79
01-09-2016, 55.05
01-10-2016, 54.94
01-11-2016, 54.86
01-12-2016, 54.77
01-01-2017, 54.31
01-02-2017, 54.16
01-03-2017, 54.09
01-04-2017, 53.91
01-05-2017, 53.71
01-06-2017, 53.65
01-07-2017, 53.37
01-08-2017, 53.22
01-09-2017, 53.99
01-10-2017, 54.14
01-11-2017, 54.57
01-12-2017, 54.62
01-01-2018, 55.02
01-02-2018, 54.89
01-03-2018, 55.16
01-04-2018, 55.39
01-05-2018, 55.93
01-06-2018, 56.34
01-07-2018, 56.69
01-08-2018, 56.91
01-09-2018, 57.08
01-10-2018, 57.21
01-11-2018, 57.39
01-12-2018, 57.03
01-01-2019, 56.26
01-02-2019, 55.92
01-03-2019, 55.41
01-04-2019, 54.87
01-05-2019, 54.23
01-06-2019, 53.84
01-07-2019, 53.67
01-08-2019, 53.28
01-09-2019, 53.11
01-10-2019, 53.02
01-11-2019, 53.26
01-12-2019, 53.87
01-01-2020, 54.22
01-02-2020, 54.81
01-03-2020, 55.06
01-04-2020, 55.69
01-05-2020, 55.96
01-06-2020, 56.34
01-07-2020, 56.98
01-08-2020, 57.54
01-09-2020, 58.02
01-10-2020, 58.79
01-11-2020, 59.61
01-12-2020, 60.27
01-01-2021, 62.48
01-02-2021, 63.31
01-03-2021, 63.98
01-04-2021, 64.23
01-05-2021, 64.95
01-06-2021, 64.89
01-07-2021, 65.01
01-08-2021, 65.04
01-09-2021, 65.14
01-10-2021, 64.99
01-11-2021, 64.92
01-12-2021, 64.88
01-01-2022, 65.13
01-02-2022, 65.26
01-03-2022, 65.15
01-04-2022, 65.39
01-05-2022, 65.44
01-06-2022, 65.16
01-07-2022, 65.02
01-08-2022, 64.97
01-09-2022, 64.98
01-10-2022, 65.12
01-11-2022, 65.47
01-12-2022, 65.98
